pid,ECategory,Event,ELevel
384050,hobbies,reading,school
324174,sports,volleyball,district
324174,others,olympiad exams,school
382196,others,intermediate examination,state
241998,hobbies,dancing,
241998,others,reading,
384064,sports,athletics,school
384064,games,badminton,school
384064,hobbies,singing,school
386106,cultural,certificates in elocution competition,school
386106,hobbies,playing basketball,school
386106,others,gold medal in nso olympiad,school
241998,sports,"cricket, football, etc",school
382028,others,olympiad sof eduheal and silver zone french gold medalist,school
241998,sports,box cricket,school
241998,hobbies,reading articles,
386116,sports,football,district
386116,cultural,dance,school
386116,hobbies,singing,school
384020,sports,cricket,school
384020,games,cricket,school
384020,cultural,dance,school
384020,hobbies,playing cricket,school
384080,sports,nil,
384080,games,nil,
384080,cultural,nil,
384080,hobbies,nil,
384080,others,nil,
346538,sports,badminton,school
346538,games,chess,school
346538,cultural,dance,school
346538,hobbies,"dance,reading,creative writing, craft activities",school
346538,others,travelling,school
386144,sports,no,
386144,games,no,
386144,cultural,no,
386144,hobbies,no,
386144,others,no,
386086,sports,kabaddi,school
386086,others,robbtics workshop,school
382136,sports,football,district
382136,games,cricket,school
382136,hobbies,"playing football, drawing, reading",
326252,sports,athletes,school
326252,games,"cricket,basket ball",district
326252,cultural,dance compition,state
326252,hobbies,"dancing,trekking,playing outdoor games",district
326252,sports,athletes,school
326252,games,"cricket,basket ball",district
326252,cultural,dance compition,state
326252,hobbies,"dancing,trekking,playing outdoor games",district
326252,others,cooking,school
384106,sports,football,school
384106,hobbies,playing football,school
386044,sports,first rank in langadi competetion in school.,school
384180,games,chess,district
384180,hobbies,tabla,
382040,sports,kabaddi,school
382040,hobbies,dance,school
382060,sports,athletics,district
382060,games,football,district
388034,cultural,singing,school
384082,sports,basketball,district
384082,hobbies,singing(choir),school
241998,hobbies,drawing,school
384116,sports,football,district
388076,sports,football,school
386034,cultural,dance,district
386034,hobbies,chess,district
384218,sports,discus throw,district
384218,games,badminton,district
384218,cultural,debate competition,district
384218,hobbies,drawing,school
386172,cultural,tabla instrumentalist (semi visharad),school
346528,sports,football,school
346528,others,winner at several technical tournaments ,national
342082,sports,cricket,school
342082,games,table tennis badminton,school
342082,cultural,creative exec ,school
342082,hobbies,drawing,school
342082,others,none,school
388040,hobbies,elementary drawing exam (a grade),
intermediate drawing exam (c grade),state,,
388040,others,achieved 4th standard and 7th standard scholarship exam,state
384154,cultural,won 2nd prize in k.c college exhibition- 'india today'-- built a working model of magnetic train,school
386142,sports,football,state
386142,games,tennis,school
386142,cultural,table tennis,
386142,hobbies,basketball etc,
384192,sports,cricket,school
384192,games,vollyball,district
384192,hobbies,reading,
382246,hobbies,vollyball,school
382246,others,craft work,school
382096,sports,aism long jump,school
382096,games,bronze,
390066,sports,kabaddi,school
386056,sports,no,
386056,games,no,
386056,cultural,no,
386056,hobbies,no,
386056,others,no,
382084,hobbies,painting,school
386174,sports,kabbadi,school
386174,hobbies,cricket,school
241998,sports,represented house for interschool badminton tournament,school
241998,games,won district level u-12 badminton championship(doubles),district
241998,cultural,"completed 2 years program of helen 'o' grady vocational speech course, participated in times nie creative art program, certificate of merit from kings cross chess festival tournament",district
241998,hobbies,"qualified elementary as well as intermediate art exam, certificate of merit of homi bhabha balvaigyanik exam",national
241998,others,"qualified for marrs international spelling bee district, state as well as national level, certificate of merit for 'aism' gizmo geeks",national
386006,sports,volleyball,school
386006,games,karate,district
382034,sports,1st in intercollege football sports meet 2018-19,school
382034,others,football,school
390044,sports,handball,state
390044,games,handball,national
390044,cultural,marathi,school
390044,hobbies,playing cricket,district
390044,others,dancing,school
388108,sports,"110m run, 200m run, 400m run, 600m run, 8oom run, 110m hurdles, gymnastics, yoga",school
388108,games,"handball, langadi, kho-kho",school
388108,cultural,tabla,state
388108,hobbies,"calligraphy, sketching",school
390052,sports,no,
390052,games,no,
390052,cultural,no,
390052,hobbies,no,
390052,others,no,
388072,hobbies,drawing,school
241998,others,acheived 1st prize in f/north ward science exhibition.,
362224,sports,,school
362224,games,cricket,school
362224,cultural,,school
362224,hobbies,gaming on mobile or pc,school
362224,others,used to do magic and mentalism,school
362024,sports,bad minton,school
362024,games,chess,school
362024,cultural,dance,school
362024,hobbies,"reading book, riding ,foodie",school
384210,cultural,intermediate drawing examination 2015,state
384210,others,secondary school scholarship 13/14,state
384240,sports,first place in 34th inter-district state championship basketball tournament,state
362088,hobbies,drawing,school
241998,sports,no,
241998,games,no,
241998,cultural,no,
241998,hobbies,cricket,school
384216,sports,taekwondo,school
384216,cultural,singing,school
241998,sports,martial arts,state
241998,sports,cricket,district
241998,games,kabbadi,district
241998,cultural,dance,school
362142,sports,cricket,school
362222,sports,badminton ,district
362222,games,pubg,school
362222,hobbies,i like listening to music and i like to watch web series ,district
362052,sports,"netball,throwball",district
362180,others,drawing certifictes in elementary and intermidiate examination,state
382236,others,displayed proficiency at dr. homi bhabha balvaidnyanik competition,state
390346,sports,cricket,school
390346,games,carrom,district
390346,cultural,none,
364126,sports,cricket,school
241998,sports,football cricket,school
241998,games,carrom  chess,school
368120,sports,football,school
368120,games,chess,school
368120,cultural,kupari,school
368120,hobbies,die hard love for aviation..,school
368120,others,playing football ....,district
368118,sports,soccer,school
368118,games,mind games,school
368118,hobbies," exploring music,architecture,fashion  ",national
368124,sports,cricket,school
368124,games,chess,school
368124,hobbies,snake and ladder,national
368116,sports,cricket,district
368116,games,pubg,school
368116,hobbies,watching sports,national
362234,sports,"badminton,volley ball",school
362234,games,chess,school
362234,hobbies,singing,school
368104,sports,cricket,district
368104,games,carrom,district
368104,cultural,event host,school
368104,hobbies,"listening to music, gaming, riding",school
368104,others,event management,school
384196,hobbies,football,school
384196,others,karate,state
241998,sports,karate,state
241998,sports,football,school
362048,sports,cricket,school
362048,games,table tennis,school
362048,cultural,dance,school
362048,hobbies,dancing,school
362048,others,,school
386110,sports,karate,state
386108,sports,karate,state
382222,sports,football while studying in school at vapi gujarat,state
382222,games,swimming while studying in school at vapi gujarat,school
382222,cultural,participated in dance in cultural activities,school
382222,hobbies,annual days,
382222,others,etc while studying in school at vapi gujarat,national
362202,sports,table tennis,school
362202,games,badminton,school
362202,cultural,music,school
362202,hobbies,playing table tennis,school
362218,sports,cricket,school
362218,games,chess,school
362218,cultural,dance,school
362218,hobbies,"mobile games, reading books",school
362220,sports,cricket,school
362220,hobbies,sleeping,school
362230,sports,cricket,school
362012,cultural,drawing (elementary),school
362172,sports,cricket,school
362172,games,chess,school
362172,cultural,singing,school
362194,sports,"basketball,throwball",school
362194,games,running,school
362194,cultural,music(singing),school
362194,hobbies,"reading,playing an instrument,gaming,writting",school
241998,hobbies,"singing, guitarist",
362036,sports,cricket,school
362036,hobbies,reading books,school
362036,others,opening up computers or laptops,school
362096,hobbies,fine arts ,state
362030,sports,chess,school
362030,games,chess,school
362030,cultural,dnace,school
362030,hobbies,cycling,school
362154,sports,football,school
362022,sports,cricket,school
362106,hobbies,drawing,national
362148,sports,,school
362148,games,,school
362148,cultural,,school
362148,hobbies,"sing and dance , reading ",school
362148,others,,school
362098,hobbies,"drawing,painting and good at calligraphy",school
362098,others,scholarships,district
362206,sports,cricket,school
362206,games,chess,district
362146,sports,,school
362146,games,,school
362146,cultural,,school
362146,hobbies,,school
362146,others,nco topper,school
362056,hobbies,singing and playing instruments,school
362198,sports,throwball,school
362198,cultural,music,school
362198,hobbies,gym,school
362170,sports,football,school
362170,games,counter strike global offensive ,district
362170,cultural,nothing ,school
362170,hobbies,collecting coins,school
362170,others,piano sometimes,school
362216,sports,cricket,school
362216,games,chess,school
362216,hobbies,"music productoin,dj",state
362196,sports,"badminton, throw ball, cricket, carrom",school
362196,games,"ludo, snakes and ladders",school
362196,cultural,"dancing, one act play",school
362196,hobbies,"reading, listening to music",school
362196,others,"participation in annual day, sports day",school
362086,sports,"badminton,cricket and carrom board",school
362086,games,"cards, ludo and snakes and ladder",school
362086,cultural,singing and dancing,school
362086,hobbies,"dancing,singing,drawing,listening songs",school
362086,others,"participation in annual functions,sports day(dancing,group singing,sports i.e. relay,cricket and badminton)participated in assembly in school",school
362248,sports,"volleyball;running,cricket,badminton",school
362248,games,chess,school
362248,cultural,drama and dance,school
362248,hobbies,listnening music,school
362248,others,none,school
362108,sports,running,school
362108,games,cricket,school
362108,cultural,"acting, dancing and singing ",school
362108,hobbies,"swimming , jiving",school
362108,others,"reading, participating in elocution ",school
362140,sports,football ,district
362140,games,carrom,school
362140,cultural,dance,school
362140,hobbies,reading,school
362210,sports,cricket,school
362210,games,chess,school
362210,hobbies,playing chess,school
362150,hobbies,drawing,school
342232,sports,football dso u-16,state
342172,sports,none,school
342172,games,chess,school
342172,cultural,none,school
342172,hobbies,"drawing,listening to music",school
342172,others,none,school
342098,sports,cricket,district
342060,sports,"football,volleyball",school
342060,games,"carrom,table tennis",school
342060,hobbies,"sketching,reading biography,gaming,sports",school
342024,sports,"100 meter running race,long jumps",school
342024,hobbies,"listening songs,painting,learning new things,wanderlust",national
342038,sports, badminton,school
342038,games,carrom,school
342038,cultural,dance,school
342038,hobbies,"dancing ,playing, gymming",school
342038,others,na,school
342100,hobbies,"cricket ,teaching",national
342178,sports,cricket,school
342178,hobbies,"reading,gymming",school
342008,sports,short-put,school
342008,games,carom,school
342008,cultural,singing,school
342008,hobbies,"drawing, reading books, gaming",school
342008,others,-,school
322196,sports,nill,national
322196,games,"throw ball, cricket ",school
322196,cultural,nill,school
322196,hobbies,"drawing , reading,  writing diary , cooking, travelling",school
322196,others,ncc,national
322030,hobbies,"writing,reading,gardening,music",school
322256,hobbies,reading teaching exploring eating,national
322256,others,scout and guide,school
342170,sports,boxing,state
342170,games,table tennis,school
342170,cultural,oratory ,school
342170,hobbies,"reading, astronomy",school
342170,others,,national
342174,hobbies,"driving,drawing,swimming,playing different sports",school
342096,sports,football,school
342096,games,pubg mobile,school
342096,cultural,dance,school
322128,hobbies,"fashion blogging ,food blogging ,drawing",school
342096,sports,football,school
342096,games,"clash royale, langdi",school
342096,cultural,dance,school
342016,sports,skating,school
342016,games,pes and fifa,school
342016,cultural,group singing,school
342246,sports,badminton,school
342246,games,puzzle solving,school
342246,cultural,dancing,school
342246,hobbies,play keybord,school
342246,others,singing,school
342096,sports,football,school
342096,games,"clash royale, langdi",school
342096,cultural,dance,school
342056,hobbies,drawning,state
342168,sports,"running,skipping,batminton.",school
342168,games,carrom board.,school
342168,cultural,singing.,school
342168,hobbies,drawing,school
342168,others,none,school
342146,sports,"cricket, mma",school
342146,games,krunker.io,school
342146,cultural,oratory,school
342146,hobbies,reading,school
342146,others,,school
342070,sports,volleyball,school
342070,games,chess,school
342070,cultural,dance,school
342070,hobbies,"origami, painting",school
342118,sports,football,national
342118,games,unblock me,national
342118,cultural,dancer ,national
342118,hobbies,tbc,national
342118,others,tbc,national
342186,sports,"cricket,badminton",school
342186,games,carrom,school
342186,hobbies,to play mobile games,school
342120,sports,cricket,school
342120,games,"mobile legends , player unknowns battle ground",school
342120,hobbies,reading,district
342120,others,"photoshop, illustrator",district
342022,hobbies,reading/ video games,national
342040,cultural,nss member,district
342040,hobbies,drawing,district
342040,others,csi creative member(2018)iris creative member(2018),district
362536,sports,badminton,school
362536,games,.,school
362536,cultural,,district
362536,hobbies,singing,district
362536,others,iste creative executive,district
342152,others,research about new technologies regarding smartphones and computer on youtube,school
362544,hobbies,pc gaming,school
241998,sports,long jump,school
241998,games,racing,school
241998,cultural,dancing,school
241998,hobbies,dancing,school
241998,others,singing,school
241998,sports,"cricket school team and college team, mca u-14",school
241998,hobbies,"mssa u19, mca u-14,",school
241998,sports,shot put,school
241998,cultural,tabla player,school
241998,hobbies,swimming,school
342526,others,project presentation ,national
362178,sports,,school
362178,games,"cards, ludo, carrom",school
362178,cultural,dancing,school
362178,hobbies,"sleeping, reading, cooking, music",school
362178,others,,school
362050,sports,"badminton,basketball",school
362050,cultural,organizing events,school
362050,hobbies,"dancing,arts",school
362046,sports,throw ball,district
362046,games,"chess,cricket,badminton,carrom etc",school
362046,cultural,"dance,playing guitar etc",school
362046,hobbies,"reading,dancing,travelling(exploring),sketching",school
362046,others,....,school
362118,sports,cricket,school
362118,games,"chess,carrom",school
362118,cultural,dance(garba),school
362118,hobbies,"books,movies",school
302070,sports,-,school
302070,games,-,school
302070,cultural,-,school
302070,hobbies,-,school
302070,others,-,school
368020,sports,played cricket at club level twice. ,school
368020,hobbies,"sports,gaming.",school
342518,sports,no,school
342518,games,no,school
342518,cultural,no,school
342518,hobbies,no,school
342518,others,no,school
368008,sports,"have played volleyball, basketball, table tennis, batminton and athletics at inter school level.",school
368008,games,i have played football and cricket at district level at dso competition. ,district
368008,cultural,have participated in my school annual day and all function from 5 std to 10 std,school
368008,hobbies,"listing to music, playing various sports, play tabla, drum, guitar, casio, gym.",district
368052,sports,cricket ,school
368052,games,pubg mobile,school
368052,hobbies,to play different games ,national
368048,sports,football,school
368048,cultural,"drama, fashion show",school
368048,hobbies,"singing, writing, travelling",school
368048,others,gaming ,school
368046,hobbies,"reading and learning new stuff,listening to music",school
368040,sports,football,district
368040,games,chess,school
368040,cultural,"role play,theatre",school
368040,hobbies,"drawing,coding,playing football,any sport",school
368018,hobbies,drawing ,school
368014,hobbies,sketching,school
322092,sports,swimming,school
322092,cultural,classical dancer,school
322092,hobbies,"swimming, dancing",school
342520,games,carrom,school
322002,sports,basketball dso semifinal,school
364134,sports,cricket,school
342194,sports,football,school
342194,games,carrom,school
342194,cultural,none,school
342194,hobbies,none,school
342194,others,none,school
342180,sports,batminton,school
342180,games,carrom,school
342180,cultural,dance,school
342180,hobbies,drawing,school
342180,others,,school
342124,cultural,house captain in school.marketing executive in college.marketing head of iste.vice president of iste.,school
342124,hobbies,reading books.playing guitar.,school
342124,others,any work that is fun,school
342236,sports,badminton,school
342236,hobbies,"dancing,drawing",school
342252,games,"badminton,cricket.",school
342252,hobbies,"drawing,painting,gyming.",school
342254,sports,football,school
342254,games,chess,school
342254,cultural,n.a,national
342254,hobbies,"reading mysterious books, gardening",state
342254,others,n.a,national
362516,sports,none,school
362516,games,none,school
362516,cultural,none,school
362516,hobbies,writing,school
362516,others,none,school
342062,games,throw ball,state
342062,cultural,dance,school
342062,hobbies,readind,school
362532,sports,none,school
362532,games,none,school
362532,cultural,none,school
362532,hobbies,playing keyboards,school
362532,others,none,school
362510,sports,football,school
362510,games,football,school
362510,cultural,,school
362510,hobbies,coding,school
362510,others,,school
342188,sports,badminton,school
342188,hobbies,piano,school
322260,sports,cricket,school
322260,hobbies,reading,school
362526,sports,box crickettug of war,school
362526,games,carrom,school
362526,cultural,fashion show,school
362526,hobbies,singing,school
241998,sports,football,school
384122,sports,football,school
382198,sports,athletics,school
382198,games,basketball,school
382056,sports,participated in inter house cricket competition,school
384214,sports,stood second in running competition,school
384214,cultural,achieved medals in islamic summer camp,district
384214,hobbies,"reading,singing,anchoring",school
384214,others,awarded as student of the year in ssc,school
382100,sports,"cricket: school team, college team (vice captain), mca u-14",school
382114,sports,football,school
382114,hobbies,singing,school
382114,others,dancing,
382088,sports,long jump 1st price,school
382088,games,javelin throw 3rd place,school
382088,cultural,carrom 1st price,school
382088,hobbies,cricket 1stprice,school
382088,others,flat race 3rd price,
384094,sports,kabbadi,school
384094,hobbies,dance,school
384118,hobbies,sketching and drawing,
386160,cultural,dance,school
386160,hobbies,drawing,district
382112,sports,basket ball,district
386158,sports,nil,
386158,games,nil,
386158,cultural,nil,
386158,hobbies,nil,
386158,others,abacus runner up,district
241998,cultural,"elocution,debates",school
386134,games,football,district
386134,hobbies,"swimming,badminton",school
241998,sports,cricket,school
241998,cultural,drama,district
241998,others,research on projects and presentation,national
384078,others,won mahindra's it championship,school
241998,hobbies,drawing,school
382176,sports,"represented school in handball for years,captain for 1 year",school
382176,hobbies,"coding,gaming,playing sports,swimming",
382176,others,"microsoft office specialist(satya nadella signed certificate),currently learning python for coursera",
384136,sports,cricket,school
384136,games,chess,school
384136,cultural,singing,school
384136,hobbies,studing,
386032,sports,kabbadi,school
386032,games,kho-kho,
386032,cultural,volleyball,
241998,sports,shotput silver medalist,
shotput bronze medalist,school,,
241998,cultural,organised and participated in a drama for art exhibition,school
241998,hobbies,photography,
386200,hobbies,reading cricket tabla,
241998,sports,gojudo karate training academy,school
388104,cultural,"cooking competition, rao academy talent hunt, scout and guide, indira gandhi rashtriya gyanpeeth hand writing competition, science exhibition, vedic math, slcit scholarship, aqua regia science quiz",school
241998,cultural,science exhibition,school
241998,hobbies,rao iit academy talent hunt contest,
241998,others,scout and guide,
386128,cultural,lazim competetion,district
386128,hobbies,ram krishna math inter school elocution and recitation competetion,school
386128,others,hindi rashtrabhasha,state
386036,sports,football,school
241998,hobbies,"drawing, reading, playing guitar",school
390042,others,maharashtra state pre- middle scholarship exam,state
382160,sports,martial atrs,state
382160,hobbies,"football,badminton",school
386018,hobbies,dancing,
386018,others,tennis,
382116,sports,karate,district
384052,sports,no,
384052,games,no,
384052,cultural,no,
384052,hobbies,no,
384098,sports,school tournament winner as captain,
,school,,
241998,sports,kabaddi certificate,school
241998,games,vigyan quiz,school
362038,sports,"badminton,swimming",school
362038,games,badminton,school
362038,cultural,na,school
362038,hobbies,"reading,music",school
362038,others,na,school
241998,hobbies,football,school
384090,sports,hockey,district
384090,cultural,elocutions,school
386188,hobbies,intermiadiate and elementary exam (drawing),state
382190,sports,volley ball,district
241998,hobbies,pro gaming,school
390040,hobbies,chess,
384224,sports,rifle shooting,school
384224,cultural,hindu,
384224,hobbies,music,school
384224,others,dance,
390062,hobbies,playing football,
384092,games,chess,district
384092,hobbies,drawing,school
384248,sports,no,
384248,games,kho kho,school
384248,cultural,no,school
384248,hobbies,reading,school
384248,others,no,
382240,hobbies,singing,
241998,sports,cricket,school
241998,games,badminton,
241998,hobbies,guitar,
241998,others,sketching,
241998,hobbies,completed 6 levels of piano from abrsm.,
learning hindustani classical music.,school,,
382250,sports,chess,school
382250,hobbies,reading books,
,,,
390026,hobbies,playing cricket and cheese,school
386092,sports,no,
386092,games,no,
386092,cultural,no,
386092,hobbies,no,
386092,others,no,
241998,sports,basketball,school
241998,cultural,college festival,district
241998,hobbies,intermediate and elementary exam in drawing,national
390064,sports,kabbadi,school
390064,games,badminton,school
390048,hobbies,playing,
388062,sports,200m running,district
388062,games,kabbadi,school
388062,hobbies,drawing,
384246,cultural,participated in various elocutions,school
384246,hobbies,debates,
382110,sports,no,
382110,games,no,
382110,cultural,no,
382110,hobbies,playing cricket,school
382110,others,no,
388012,sports,cricket football,school
388012,hobbies,reading,
388012,others,playing games,
384152,sports,basketball,school
384152,cultural,bharatnatyam,school
384152,hobbies,elocution,school
241998,sports,karate,national
241998,cultural,bharathanatyam,school
241998,hobbies,"drawing, dance,",
390014,hobbies,tabla,
241998,sports,karate,national
241998,cultural,bharatanatyam,school
241998,hobbies,"drawing,dancing,sports",
241998,sports,football,school
241998,hobbies,reading books,school
241998,sports,cricket,district
241998,hobbies,playing guitar,
386138,sports,no,
386184,sports,football,district
386184,games,authletic,district
386184,hobbies,sports,school
386040,sports,athletics- 100mts,district
386040,games,relay,
386040,cultural,long jump,
386040,hobbies,high jump,
386040,others,triple jump,
386020,sports,track and field,school
386020,games,cricket and badminton,school
386020,hobbies,watching movies and adventures,school
388056,sports,state level judo tournament,state
388056,games,volleyball,school
388056,hobbies,state level music competition,
382022,sports,running,school
382022,cultural,singing,school
382022,hobbies,dancing,
382022,others,drawing,
342134,hobbies,keyboard,school
342072,sports,football ,district
342072,games,cs go,national
342072,cultural,dfg,state
342072,hobbies,reading,district
342072,others,no,state
342048,sports,badminton,school
342048,hobbies,drawing,school
342148,sports,hockey,district
342148,games,many ,school
342148,cultural,many,school
342148,hobbies,too many ,school
342148,others,many ,school
342230,sports,kho-kho,district
342230,cultural,completed bharatnatyam of 8 years,state
342230,others,completed indian navy training,national
342002,sports,"table tennis, badminton, football.",school
342002,games,"zenkido martial arts, chess.",school
342002,cultural,annual programs: instrumentalist,school
342002,hobbies,"flute, harmonium, tabla, keyboard, books, coding, machine learning, trekking, archaeology, pets, writing, digital art.",school
342002,others,-,national
322126,sports,football,state
322126,games,"carrom, chess",school
342110,cultural,skit,district
342006,sports,cricket,school
342006,games,carrom,school
342006,cultural,none,school
342006,hobbies,trekking,school
342006,others,none,school
322144,cultural,ieee head ,national
322144,others,ngo leader,national
342108,cultural,1st prize in north mumbai suburban district“best out of waste project” 2013,district
342108,hobbies,"singing,reading",school
342130,sports,cricket,school
342130,cultural,singing,school
342130,hobbies,sleeping,school
342030,sports,cricket,school
342030,games,pubg,national
342030,cultural,no culture,school
342030,hobbies,memes,national
342030,others,nothing,national
386164,hobbies,athletics,school
390006,sports,archery,
390006,hobbies,swimming,
390056,hobbies,playing guitar,
390072,sports,kvs national swimmer,national
390072,games,athletics and basketball,district
386082,others,drawing competition,school
390046,hobbies,cycle racing,
342028,sports,badminton,district
342028,games,mobile legends,national
342028,cultural,college event,school
342028,hobbies,tutting,national
388020,sports,basketball,school
241998,sports,soft ball,school
241998,games,kabbadi,school
241998,hobbies,photography,school
241998,others,entrepreneurship,school
382178,games,chess,district
362072,sports,badminton,school
362072,games,badminton,school
362072,cultural,technical stuff,school
362072,hobbies,"dancing,travelling",school
362072,others,-,school
362054,sports,badminton,school
362054,games,badminton ,school
362054,cultural,"singing , dancing",school
362054,hobbies,"singing ,dancing,art and craft,reading",school
362054,others,"participated in exams like homi bhabha,unified council,spell bee,ltse,scholarship,olympiad.",national
362090,sports,"badminton,throw ball",school
362090,games,badminton,school
362090,cultural,dancing,school
362090,hobbies,dancing,school
362090,others,reading,school
382092,hobbies,cricket,school
382092,others,won quiz competition,school
388098,sports,football,state
384230,cultural,passed the kathak dance course with first division in all the years,school
384230,hobbies,"certificates of participation in various drawing and painting competions, red cross society certificate of honour, certificate in ing vysya bank competition",school
384230,others,"certificate in mun 2015,cerificate in ocas astronomy assessment, certificate of appreciation from tata power club",school
382170,sports,football,school
382170,games,chess,school
382170,cultural,cleanliness drive,district
241998,sports,gold medal in gymnastics,school
241998,cultural,kalasadhana drawing competition,state
241998,hobbies,a grade in intermediate drawing exam,
5km river march marathon,state,,
241998,others,merit in homibhabha young scientist exam in 6th and 9th,
state scholarship in 4th and 7th,,,
gold medal in international english olympiad,,,
gold medal in neltas exam,,,
,national,,
386136,sports,came first in chess,school
386192,sports,handball winner,district
386192,games,cricket,school
386192,cultural,football,
386192,hobbies,handball,
390004,sports,volleyball,district
390004,hobbies,calligraphy,school
390004,others,reading,
241998,sports,cricket,school
241998,sports,"badminton, chess, skating",school
241998,hobbies,"drawing, reading, playing guitar",school
322032,hobbies,dancing,state
322032,others,nss,national
342542,cultural,it collocioum 1st prize (iot),school
342542,hobbies,diskjokeyelectronic enthusisit,school
342542,others,1st prize project competition gh rasoni ,national
384182,sports,represented school in football cricket,school
384182,hobbies,reading,school
322246,sports,,school
322246,games,,school
322246,cultural,,school
322246,hobbies,,school
322246,others,,school
342522,sports,discus throw,school
342522,hobbies,dance,school
342522,others,"travelling, listening music",school
322156,sports,cricket,school
322156,cultural,dance,school
322156,hobbies,drama ,school
342528,cultural,participated in singing competition  1. rangwardhan(vjti) singing competition 2018   2.iris (sfit) singing 2019,school
342528,hobbies,singing,school
322006,others,gaming,school
342508,sports,"3 gold medals in running,gold medal in college in table tennis",school
342508,games,"football,cricket,table tennis",district
342508,hobbies,playing ,state
322158,cultural,1st place in singing competition,school
322084,sports,,school
322084,games,,school
322084,cultural,,school
322084,hobbies,,school
322084,others,,school
322034,sports,"throwball,volly ball,cricket,badminton",school
322034,games,carrom,school
322034,cultural,"dance,singing,elocation competition,",school
322034,others,-,school
342548,sports,cricket,school
342548,games, nil,district
342548,cultural,singing,school
342548,hobbies,playing sports,school
342548,others,na,school
322008,others,essay writing competition,school
241998,sports,kabadi,school
241998,games,chess,school
241998,sports,cricket (dso),district
241998,sports,n.a,
241998,games,n.a,
241998,cultural,n.a,
241998,hobbies,badminton,
241998,others,n.a,
241998,sports,tug of war,school
241998,sports,basket ball,district
241998,sports,no,
241998,games,no,
241998,cultural,no,
241998,hobbies,no,
241998,others,no,
388096,sports,kabaddi,school
388096,games,cricket,school
388096,cultural,dance,school
382098,hobbies,playing cricket and football,school
382098,others,much addicted to library,
322010,hobbies,"football , cricket",school
322004,games,"chess,ludo",school
322004,cultural,singing,school
322004,hobbies,"web designing, cooking,sketching",school
322012,sports,none,national
322012,games,none,national
322012,cultural,none,national
322012,hobbies,none,national
322012,others,none,national
322146,cultural,"iris 2018,19",school
322146,hobbies,gaming ,school
322038,sports,,school
322038,games,,school
322038,cultural,,school
322038,hobbies,,school
322038,others,,school
322014,sports,none,school
322014,games,none,school
322014,cultural,bharatnatyam,school
322014,hobbies,reading,school
322014,others,none,school
322018,sports,,school
322018,games,,school
322018,cultural,iris,school
322018,hobbies,studying and gaming.,school
322018,others,,school
382234,cultural,streetplays and rallies,school
390008,sports,playing basketball,district
390008,games,basketball,district
390008,hobbies,reading,school
382118,sports,cricket,school
382118,games,badminton,school
382118,cultural,singing,school
382118,hobbies,reading books,school
382118,others,touring,
382068,sports,swimming,school
382068,games,table tennis,school
382068,cultural,volleyball,
384100,hobbies,cricket,school
241998,sports,table tennis,district
386156,games,participated in state level geography talent search examination 2015,
386156,cultural,participated twice in bharatiya rashtra bhasha bhasharatna exam,
386156,hobbies,completed computer information technology course and office administration course (basic) from max computer education,state
386156,others,participated in science exhibition,school
241998,sports,cricket,school
241998,games,quiz,school
241998,hobbies,painting,school
241998,sports,volleyball and chess,district
241998,sports,volleyball and chess,district
362182,sports,cricket,school
362182,hobbies,playing cricket,school
384018,sports,basket ball,school
384018,cultural,drawing,school
384018,hobbies,reading books,
342080,sports,none,school
342080,games,none,district
342080,cultural,none,school
342080,hobbies,none,school
342080,others,none,national
342234,hobbies,reading,school
342042,sports,"cricket, badminton",school
342042,games,carrom,school
342042,cultural,no,school
342042,hobbies,"gaming, music,informational videos",school
342042,others,no,school
342216,sports,none,school
342216,games,none,school
342216,cultural,none,school
342216,hobbies,singing,district
342216,others,none,school
342158,hobbies,drawing,school
362522,sports,cricket,school
362522,games,fornite,district
362522,cultural,debate,school
362522,hobbies,reading books,state
362522,others,coding,national
382066,cultural,social awareness program,school
382082,hobbies,singing,school
241998,sports,football,school
241998,hobbies,"programming , gaming",
241998,others,certified in c and c++,
384172,sports,football,school
384172,hobbies,programming,
384172,others,gaming,
241998,sports,no,
241998,games,no,
241998,cultural,no,
241998,hobbies,no,
241998,others,no,
382078,hobbies,cricket,
241998,sports,athletics,district
241998,games,football,school
241998,cultural,"tree plantion, clean mumbai",school
241998,hobbies,football,school
388036,sports,football,school
388036,games,free fire,school
388036,cultural,koli,school
388036,hobbies,dance,school
388036,others,song,school
382180,sports,cricket,school
382180,games,cricket,school
382180,cultural,koli,school
382180,hobbies,swimming,school
382180,others,dancing,school
241998,sports,kabbadi,school
386098,sports,kabadii,school
382212,games,3rd prize interschool quiz competition,school
382212,hobbies,reading,
382212,others,active reader on quora.,national
241998,games,badminton,school
241998,hobbies,drawing,school
390328,sports,kabaddi runner up,school
390328,games,kho-kho runner up,
390328,others,second prize= paper presentation competition(pravinya 2019),
award for best project by diploma student(all weather solar panel)= dipex 2019,,,
384306,sports,cricket,school
384306,games,chess,school
384306,cultural,skit and drama,school
384306,hobbies,drawing,school
390306,sports,football,district
382312,sports,carrom,school
382312,games,chess,school
382312,cultural,swimming,school
382312,hobbies,music,school
384308,hobbies,reading,
386322,sports,football,school
386322,games,hockey,school
386322,hobbies,table tennis,
386322,others,dance,
390340,sports,cricket,school
390340,games,pubg,
390340,hobbies,cricket,
390340,others,reading books,school
388316,sports,"cricket,football",
388316,hobbies,tabel tennis,
384304,hobbies,drawing,state
382310,sports,"athletics, football",school
