pid,Name,acadyear,stat,ssc,hsc,cet,diploma
464316,student461,2023,0,0.7915904936014624,0.7579162410623085,0.7004048582995952,0.9139106805293004
464318,student462,2023,0,0.6489945155393053,0.6128702757916241,0.7672064777327935,0.9139106805293004
464320,student463,2023,0,0.8702010968921388,0.7742594484167518,0.7753036437246963,0.9139106805293004
464322,student464,2023,0,0.9305301645338209,0.9662921348314606,0.9635627530364373,0.9139106805293004
464324,student465,2023,0,0.6819012797074954,0.67926455566905,0.9706477732793524,0.9139106805293004
464326,student466,2023,0,0.8318098720292504,0.8610827374872317,0.9746963562753036,0.9139106805293004
464328,student467,2023,0,0.846435100548446,0.7589376915219611,0.9574898785425101,0.9139106805293004
464330,student468,2023,0,0.7001828153564899,0.6608784473953013,0.9463562753036437,0.9139106805293004
464332,student469,2023,0,0.7513711151736745,0.7048008171603677,0.8289473684210528,0.9139106805293004
464334,student470,2023,0,0.6453382084095063,0.6823289070480081,0.9210526315789473,0.9139106805293004
464336,student471,2023,0,0.5978062157221207,0.526046986721144,0.9878542510121457,0.9139106805293004
464338,student472,2023,0,0.7404021937842779,0.6956077630234933,0.8896761133603239,0.9139106805293004
464340,student473,2023,0,0.919561243144424,0.7895812053115423,0.8431174089068826,0.9139106805293004
464342,student474,2023,0,0.6343692870201098,0.5883554647599591,0.7429149797570851,0.9139106805293004
464344,student475,2023,0,0.8537477148080439,0.5985699693564862,0.8522267206477734,0.9139106805293004
464346,student476,2023,0,0.7184643510054843,0.6138917262512767,0.8724696356275304,0.9139106805293004
464348,student477,2023,0,0.6782449725776963,0.6159346271705821,0.8785425101214575,0.9139106805293004
464350,student478,2023,0,0.8903107861060329,0.7007150153217568,0.3451417004048583,0.9139106805293004
464352,student479,2023,0,0.7623400365630713,0.7364657814096015,0.861336032388664,0.9139106805293004
464354,student480,2023,0,0.6928702010968922,0.6435137895812053,0.9676113360323886,0.9139106805293004
464356,student481,2023,0,0.6270566727605118,0.6343207354443309,0.8522267206477734,0.9139106805293004
464358,student482,2023,0,0.7221206581352834,0.6496424923391215,0.520242914979757,0.9139106805293004
464360,student483,2023,0,0.7989031078610603,0.6281920326864147,0.9787449392712552,0.9139106805293004
464362,student484,2023,0,0.8939670932358319,0.6159346271705821,0.757085020242915,0.9139106805293004
464364,student485,2023,0,0.7879341864716635,0.6659856996935648,0.9159919028340081,0.9139106805293004
464366,student486,2023,0,0.6234003656307129,0.6588355464759958,0.7692307692307693,0.9139106805293004
464368,student487,2023,0,0.9561243144424131,0.7201225740551583,0.8441295546558705,0.9139106805293004
464370,student488,2023,0,0.9378427787934186,0.804902962206333,0.8825910931174089,0.9139106805293004
464372,student489,2023,0,0.6928702010968922,0.6700715015321755,0.7611336032388665,0.9139106805293004
464374,student490,2023,0,0.6124314442413162,0.6435137895812053,0.7672064777327935,0.9139106805293004
464376,student491,2023,0,0.9561243144424131,0.8120531154239019,0.9129554655870445,0.9139106805293004
464502,student492,2023,0,0.7111517367458867,0.0,0.8246661138711862,0.9119565217391304
464504,student493,2023,0,0.6124314442413162,0.0,0.8246661138711862,0.8695652173913043
464506,student494,2023,0,0.6526508226691042,0.0,0.8246661138711862,0.8771739130434782
464508,student495,2023,0,0.7952468007312614,0.0,0.8246661138711862,0.9565217391304348
464510,student496,2023,0,0.8354661791590494,0.0,0.8246661138711862,0.8630434782608696
464512,student497,2023,0,0.6892138939670932,0.0,0.8246661138711862,0.9576086956521739
464514,student498,2023,0,0.4478976234003656,0.0,0.8246661138711862,0.9500000000000001
464516,student499,2023,0,0.7659963436928703,0.0,0.8246661138711862,0.8760869565217391
464518,student500,2023,0,0.8592321755027422,0.0,0.8246661138711862,0.9543478260869565
464520,student501,2023,0,0.8281535648994515,0.7141313684577903,0.8246661138711862,0.8858695652173914
464522,student502,2023,0,0.8171846435100548,0.0,0.8246661138711862,0.0
464524,student503,2023,0,0.7513711151736745,0.0,0.8246661138711862,0.8586956521739131
484002,student504,2024,0,0.8043875685557587,0.6673135852911133,0.8958131578947368,0.9139106805293004
484006,student505,2024,0,0.7769652650822668,0.7446373850868233,0.8724696356275304,0.9139106805293004
484008,student506,2024,0,0.926873857404022,0.8444330949948927,0.8477021255060729,0.9139106805293004
484010,student507,2024,0,0.8208409506398539,0.804902962206333,0.6892712550607287,0.9139106805293004
484012,student508,2024,0,0.8775137111517367,0.7081716036772217,0.7644201417004048,0.9139106805293004
484014,student509,2024,0,0.8171846435100548,0.8052093973442287,0.9501113360323886,0.9139106805293004
484016,student510,2024,0,0.9451553930530164,0.8086823289070479,0.9639298582995952,0.9139106805293004
484018,student511,2024,0,0.6819012797074954,0.6486210418794688,0.9746963562753036,0.9139106805293004
484020,student512,2024,0,0.4881170018281536,0.5393258426966292,0.9767206477732794,0.9139106805293004
484022,student513,2024,0,0.886654478976234,0.7371807967313585,0.8124937246963563,0.9139106805293004
484024,student514,2024,0,0.7842778793418648,0.8035750766087845,0.8389277327935223,0.9139106805293004
484026,student515,2024,0,0.6343692870201098,0.5379979570990807,0.4077411943319838,0.9139106805293004
484028,student516,2024,0,0.6709323583180987,0.7099080694586312,0.8734817813765182,0.9139106805293004
484030,student517,2024,0,0.7221206581352834,0.5226762002042901,0.7031214574898786,0.9139106805293004
484032,student518,2024,0,0.7733089579524679,0.7065372829417773,0.7348178137651822,0.9139106805293004
484034,student519,2024,0,0.9012797074954295,0.8767109295199182,0.9014615384615385,0.9139106805293004
484036,student520,2024,0,0.7550274223034734,0.6213483146067416,0.6840080971659919,0.9139106805293004
484038,student521,2024,0,0.9817184643510055,0.7609805924412666,0.9321236842105263,0.9139106805293004
484040,student522,2024,0,0.9872029250457038,0.932890704800817,0.9884615384615385,0.9139106805293004
484042,student523,2024,0,0.8756855575868373,0.7354443309499489,0.787921052631579,0.9139106805293004
484044,student524,2024,0,0.6234003656307129,0.7568947906026556,0.7398785425101214,0.9139106805293004
484046,student525,2024,0,0.809872029250457,0.7814096016343207,0.8265063765182186,0.9139106805293004
484048,student526,2024,0,0.8135283363802559,0.755873340143003,0.6983805668016194,0.9139106805293004
484050,student527,2024,0,0.9444241316270565,0.8256384065372829,0.8649206477732794,0.9139106805293004
484052,student528,2024,0,0.5941499085923218,0.6486210418794688,0.7782368421052631,0.9139106805293004
484054,student529,2024,0,0.9305301645338209,0.7898876404494382,0.8236223684210526,0.9139106805293004
