"pid,ECategory,Hobby,Hobby_level"
"198056,cultural,""music- got selected in singing competition and won the 1st prize at the district ,state level. went to haridwar for the national level representing and maharashtra state.reached 5th level in hindustani classical music from akhil bharatiya gandharva vidhyalaya, mumbaibharata natyam - reached 5th level from akhil bharatiya gandharva vidhyalaya, mumbai"",national"
"198057,hobbies,playing badminton,school"
"198058,hobbies,dance  drawing,school"
"198059,sports,cricket,district"
"198060,games,cricket,district"
"198061,hobbies,reading,school"
"198062,cultural,""dance, boogie woogie 2000 winner ( sony tv) mini superstar winner (dd metro)"",school"
"198063,sports,throw ball,district"
"198064,games,foot ball,district"
"198065,cultural,scout and guide,district"
"198066,hobbies,""music, dancing"",school"
"198067,sports,karate - black belt 1 strip,school"
"198068,cultural,elementary intermediate,school"
"198069,cultural,elementary drawing examination,state"
"198070,sports,throw ball,school"
"198071,games,100 meter running,school"
"198072,others,head girl,school"
"198073,sports,-,school"
"198074,games,-,school"
"198075,cultural,-,school"
"198076,hobbies,art and craft,school"
"198077,others,-,school"
"198078,cultural,""carol singing, dancing"",school"
"198079,hobbies,drawing,school"
"198080,others,tree plantation,school"
"198081,sports,karate,school"
"198082,games,karate,school"
"198083,cultural,""instrumental competition, patriotic singing competition, carol singing competition"",school"
"198084,hobbies,""playing the guitar, group singing,"",school"
"198085,others,""playing the guitar, group singing,"",school"
"198086,cultural,""carol singing, dancing, "",school"
"198087,hobbies,drawing,school"
"198088,others,""tree plantation, swachh bharat abhiyan"",school"
"198089,sports,throwball,school"
"198090,sports,football,district"
"198091,hobbies,""sports, music, drawing and arts"",school"
"198092,sports,football,school"
"198093,cultural,drama,school"
"198094,hobbies,music,school"
"198095,sports,football,district"
"198096,hobbies,drawing,school"
"198097,hobbies,reading,school"
"198098,others,i have 2 years of exp zerebral it solution pvt ltd,national"
"198099,hobbies,singing,school"
"198100,others,keyboard,school"
"198101,sports,relay,school"
"198102,games,relay,school"
"198103,cultural,dance,school"
"198104,hobbies,dance,school"
"198105,others,""homi bhabha, c.v. raman"",district"
"198106,sports,wushu,state"
"198107,games,kungfu,state"
"198108,hobbies,kungfu,state"
"198109,sports,hockey,school"
"198110,cultural,bharathnatyam,district"
"198111,hobbies,""dancing,acting,cooking"",school"
"198112,sports,hockey,school"
"198113,cultural,bharathnatyam,district"
"198114,hobbies,""dancing,acting,cooking"",school"
"198115,sports,hockey,school"
"198116,cultural,bharathnatyam,district"
"198117,hobbies,""dancing,acting,cooking"",school"
"198118,cultural,""won elocution competition inter school, head girl of the school "",school"
"198119,others,""dr. homi bhabha balvaidnyanik competition, sir c.v.raman science talent exam"",district"
"198120,sports,throwball athletics ,district"
"198121,games,chess,school"
"198122,hobbies,guitar,school"
"198123,others,world scholars cup,state"
"198124,games,chess,school"
"198125,hobbies,guitar,school"
"198126,others,world scholars cup,state"
"198127,games,chess,school"
"198128,hobbies,pianoforte,school"
"198129,games,chess,school"
"198130,hobbies,pianoforte,school"
"198131,sports,""basketball, athletics  "",school"
"198132,cultural,""dance (indian and western), music (instrumental-upto grade 3 trinity college exam, singing), drawing (alimentary), speech and drama (trinity college grade exam-grade 5)"",school"
"198133,hobbies,programming,national"
"198134,hobbies,programming,national"
"198135,games,chess,school"
"198136,hobbies,pianoforte,school"
"198137,hobbies,reading books,school"
"198138,hobbies,reading books,school"
"198139,hobbies,reading books,school"
"198140,hobbies,reading books,school"
"198141,sports,none,school"
"198142,games,none,school"
"198143,cultural,none,school"
"198144,hobbies,reading books,school"
"198145,others,none,school"
"198146,sports,none,school"
"198147,games,none,school"
"198148,cultural,none,school"
"198149,hobbies,reading books,school"
"198150,others,none,school"
"198151,sports,2nd in 4*100 mts relay,school"
"198152,hobbies,english eassy competition (3rd place),school"
"198153,cultural,piano,school"
"198154,others,elocution competiton and other activities in school,school"
"198155,others,elocution competiton and other activities in school,school"
"198156,others,elocution competiton and other activities in school,school"
"198157,sports,player in the winning team in a school level football tournament,school"
"198158,games,football,school"
"198159,sports,""basketball,handball, football"",school"
"198160,hobbies,""basketball,handball, football"",district"
"198161,sports,basketballhandball football,district"
"198162,hobbies,taikwando-yellow belt,district"
"198163,sports,""relay,drill race,shot put"",school"
"198164,games,kho-kho,school"
"198165,cultural,""dance,singing"",school"
"198166,hobbies,sketching,school"
"198167,others,elementary and intermediate ,school"
"198168,others,""middleschool scholarship , highschool scholarship"",state"
"198169,sports,badminton,district"
"198170,hobbies,reading books,school"
"198171,sports,volleyball,school"
"198172,hobbies,""drawing""""a"""" grade in intermediate drawing examination"",state"
"198173,sports,football,school"
"198174,games,chess,school"
"198175,hobbies,card making,school"
"198176,games,card making,school"
"198177,hobbies,card making,school"
"198178,sports,football,district"
"198179,games,draughts,school"
"198180,hobbies,currency collection,school"
"198181,games,draughts,school"
"198182,hobbies,currency collection,school"
"198183,games,draughts,school"
"198184,hobbies,currency collection,school"
"198185,sports,throwball,district"
"198186,sports,""basketball, football, cricket"",school"
"198187,games,tug of war,school"
"198188,cultural,western group dance,school"
"198189,sports,wushu / kickboxing ,state"
"198190,games,wushu / kickboxing,state"
"198191,hobbies,martial arts (kung fu),state"
"198192,hobbies,""music,playing keyboard instrument,cricket."",school"
"198193,cultural,mun(mock united nations),school"
"198194,sports,mun(mock united nations),district"
"198195,others,essay writing,school"
"198196,hobbies,singing ,school"
"198197,others,science exhibitions,school"
"198198,cultural,mun(mock united nations),school"
"198199,sports,silver medal in kabbadi,school"
"198200,cultural,science exhibition(regional level),school"
"198201,sports,footbal,district"
"198202,sports,cricket volleyball,school"
"198203,cultural,participated in cultural programs in school,school"
"198204,hobbies,""reading, cycling, playing musical instrument"",school"
"198205,hobbies,drawing(intermrediate),state"
"198206,sports,football,school"
"198207,cultural,musician,school"
"198208,hobbies,drawing(intermrediate),state"
"198209,sports,badminton,school"
"198210,cultural,""music, drama, social work for interact club"",school"
"198211,hobbies,""badminton, music, art"",school"
"198212,sports,football,district"
"198213,sports,running ,school"
"198214,games,none,school"
"198215,cultural,none,school"
"198216,hobbies,none,school"
"198217,others,none,school"
"198218,cultural,dance drama ,school"
"198219,hobbies,reading drawing and art,school"
"198220,sports,running ,school"
"198221,games,none,school"
"198222,cultural,none,school"
"198223,hobbies,none,school"
"198224,others,none,school"
"198225,sports,played inter school cricket match(under 12),school"
"198226,games,--,school"
"198227,cultural,--,school"
"198228,hobbies,--,school"
"198229,others,--,school"
"198230,games,2nd rank in techfest organised in college,school"
"198231,others,came in the merit list of middle school scholarship examination and higher school scholarship examination.,state"
"198232,sports,none,school"
"198233,games,none,school"
"198234,cultural,none,school"
"198235,hobbies,none,school"
"198236,others,none,school"
"198237,sports,chess,district"
"198238,sports,football,school"
"198239,games,cricket,district"
"198240,others,national environment talent search exam (netse) third prize,national"
"198241,others,""middleschool scolarship,highschool scholarship"",state"
"198242,sports,""cricket,long jump"",school"
"198243,sports,gymnastics and rope malkhamb,district"
"198244,hobbies,drawing and painting,school"
"198245,sports,athletics,school"
"198246,others,115 rank in ipm,national"
"198247,sports,athletics,school"
"198248,hobbies,group dance at vasai kalakrida,district"
"198249,others,115 rank in ipm,national"
"198250,sports,athletics,school"
"198251,hobbies,group dance at vasai kalakrida,district"
"198252,others,115 rank in ipm,national"
"198253,sports,athletics,school"
"198254,hobbies,group dance at vasai kalakrida,district"
"198255,others,115 rank in ipm,national"
"198256,sports,1st price in cricket tournamentsilver medal in long jump,school"
"198257,cultural,hind classical music,school"
"198258,hobbies,""badminton, throwball, swimming"",school"
"198259,sports,kabaddi,school"
"198260,games,cricket,school"
"198261,games,cricket,school"
"198262,games,cricket,school"
"198263,games,cricket,school"
"198264,games,cricket,school"
"198265,games,cricket,school"
"198266,games,cricket,school"
"198267,games,cricket,school"
"198268,games,cricket,school"
"198269,cultural,drama,school"
