"pid,ECategory,Hobby,Hobby_level"
"198691,games,""volleyball,throwball"",district"
"198692,cultural,social service,school"
"198693,hobbies,""playing volleyball,football,throwball,handball,cricket,table tenis,carom"",school"
"198694,others,paper presentation,state"
"198695,games,running ,school"
"198696,hobbies,drawing ,school"
"198697,games,running ,school"
"198698,hobbies,drawing ,school"
"198699,games,running ,school"
"198700,hobbies,drawing ,school"
"198701,sports,kabbadi,school"
"198702,hobbies,drawing,school"
"198703,sports,member of national scouts/ guides,national"
"198704,others,member of nss,school"
"198705,sports,member of national scouts/ guides,national"
"198706,others,member of nss,school"
"198707,sports,badminton player,state"
"198708,hobbies,speedcubing,national"
"198709,sports,badminton player,state"
"198710,hobbies,speedcubing,national"
"198711,sports,badminton player,state"
"198712,hobbies,speedcubing,national"
"198713,others,project competition,state"
"198714,sports,""skating, athletics, "",school"
"198715,hobbies,cricket,school"
"198716,sports,""skating, athletics, "",school"
"198717,hobbies,cricket,school"
"198718,sports,""skating, athletics, "",school"
"198719,hobbies,cricket,school"
"198720,sports,""skating, athletics, "",school"
"198721,hobbies,cricket,school"
"198722,hobbies,playng piano ,national"
"198723,others,singing,school"
"198724,sports,cricket,school"
"198725,hobbies,cricket ,school"
"198726,cultural,""music, guitar playing"",school"
"198727,sports,nil,school"
"198728,games,nil,school"
"198729,cultural,nil,school"
"198730,hobbies,nil,school"
"198731,others,nil,school"
"198732,hobbies,playing keyboard and guitar,school"
"198733,hobbies,arts,school"
"198734,others,garba,school"
"198735,sports,volley ball;cricket,school"
"198736,games,playing- chess,school"
"198737,hobbies,hobbies are playing- chess; volleyball;table tennis;cricket,school"
"198738,others,1st prize in technical quiz competition,state"
"198739,hobbies,""guitar,singing"",school"
"198740,cultural,""winner in paper presentation in pravin patil institute of technology,1st prize in paper presentation in vidyalankar institute of technology,winner in quiz in vasant dada patil institute of technology,winner in debate competition in babasaheb gawde institute of technology."",state"
"198741,hobbies,debate,school"
"198742,sports,football,school"
"198743,sports,football,school"
"198744,cultural,interschool dance competition ,school"
"198745,hobbies,intermediate grade drawing examination ,state"
"198746,sports,""cycling, kabaddi"",school"
"198747,games,""chess, carrom"",school"
"198748,hobbies,reading,school"
"198749,sports,thang-ta ,national"
"198750,games,taekwon-do,district"
"198751,cultural,thang-ta,national"
"198752,hobbies,cricket,state"
"198753,sports,bronze medal in 1st maharashtra state level karate championship 2007,state"
"198754,sports,district level football,district"
"198755,cultural,event organization,school"
"198756,others,organization of events and college festival ,school"
"198757,cultural,dance,school"
"198758,sports,basketball,district"
"198759,cultural,choir,school"
"198760,hobbies,""singing, music, reading"",school"
"198761,sports,""runnning, long jump, high jump, relay run"",school"
"198762,games,badminton,school"
"198763,cultural,singing and dancing,school"
"198764,hobbies,travelling,school"
"198765,sports,""kabbadi,kho_kho,running,high_jump,shot_put"",school"
"198766,games,relay,school"
"198767,others,paper-presentation,national"
"198768,sports,discuss throw 3rd prize two times,school"
"198769,others,certificate of merit in c  certificate of participation in nsc(national linux security),school"
"198770,sports,discuss throw 3rd prize two times,school"
"198771,others,certificate of merit in c  certificate of participation in nsc(national linux security),school"
"198772,cultural,winner of project competition in  bhausaheb vartak polytechnic,school"
"198773,hobbies,""i like to travel at different places,watching televisiongardening,reading"",school"
"198774,others,in yoga competition in bhausaheb vartak polytechnic,school"
"198775,others,paper-presentation,national"
"198776,sports,volleyball (school level as well as participation in district level),district"
"198777,cultural,science skit (nature club) ,district"
"198778,hobbies,""music, writing, and sports"",school"
"198779,hobbies,""singing, drawing and desighning."",school"
"198780,hobbies,""singing, drawing and desighning."",school"
"198781,hobbies,""singing, drawing and desining."",school"
"198782,hobbies,""singing, drawing."",school"
"198783,cultural,participated in cultural event of diploma college in all 3 years,school"
"198784,cultural,participated in cultural event of diploma college in all 3 years,school"
"198785,cultural,participated in cultural event of diploma college in all 3 years,school"
"198786,cultural,participated in cultural event of diploma college in all 3 years,school"
"198787,sports,participated in cricket tournament,school"
"198788,games,participated in chess and carrom tournament,school"
"198789,cultural,participated in cultural event of diploma college in all 3 years,school"
"198790,hobbies,painting,school"
"198791,sports,participated in cricket tournament,school"
"198792,games,participated in chess and carrom tournament,school"
"198793,cultural,participated in cultural event of diploma college in all 3 years,school"
"198794,hobbies,painting,school"
"198795,others,.,school"
"198796,cultural,participated in cultural festival in diploma college in all 3 years,school"
"198797,sports,footbool,school"
"198798,games,carrom,school"
"198799,hobbies,""cycling,playing soccer,cricket. "",school"
"198800,sports,badminton,state"
"198801,games,chess,district"
"198802,sports,cricket,school"
"198803,sports,""badminton,swimming,  cricket, foot ball, volley ball,shot put"",district"
"198804,games,chess,district"
"198805,cultural,acting in  annual programme,school"
"198806,hobbies,""reading books, listening music"",school"
"198807,others,he has won various awards in sports at various level,district"
"198808,hobbies,singing,school"
"198809,sports,badminton and throwball,school"
"198810,cultural,performed at annual day,school"
"198811,hobbies,singing,school"
"198812,sports,athletics,state"
"198813,games,badminton,state"
"198814,sports,football,school"
"198815,sports,""cricket, volleyball"",district"
"198816,games,table tennis,school"
"198817,sports,cricket,school"
"198818,cultural,musician/pianist/keyboardist,school"
"198819,sports,kho-kho,school"
"198820,games,chess,school"
"198821,hobbies,""singing, dancing, swimming"",school"
"198822,sports,cricket,school"
"198823,games,football,school"
"198824,hobbies,""listening music, playing games,reading books"",school"
"198825,sports,""football,badminton"",school"
"198826,games,carrom,school"
"198827,cultural,drama,school"
"198828,hobbies,""painting,sketching,dancing,movies"",school"
"198829,others,none,school"
"198830,sports,football,district"
"198831,games,fifa ,district"
"198832,cultural,danced,school"
"198833,others,part time youtuber (subscribe to my channel please!!!!),national"
"198834,sports,""football, badminton"",school"
"198835,hobbies,""gaming, youtubing"",school"
"198836,sports,football,school"
"198837,games,""fifa 16, gta 5, counter strike"",national"
"198838,cultural,""dancing, acting"",school"
"198839,hobbies,""football, gaming, dancing"",school"
"198840,others,""ludo, monopoly "",school"
"198841,sports,cricket,school"
"198842,games,""carrom,chess"",school"
"198843,cultural,none,school"
"198844,hobbies,""painting,sketching"",school"
"198845,others,none,school"
"198846,sports,""football, table tennis"",school"
"198847,cultural,guitar,school"
"198848,sports,to ride the downward spiral to hell!! [international level],national"
"198849,games,game of life? [spiritual level],national"
"198850,cultural,culturally trained to judge people [from outer side but crying about my own life from the inner side],national"
"198851,hobbies,""frequently take impossible tasks ,achieve it and make inappropriate jokes, if i dont complete the target,well idc and idk [international level]"",national"
"198852,others,blue whale [spiritual level],national"
"198853,sports,football,district"
"198854,games,football,district"
"198855,cultural,none,school"
"198856,hobbies,reading,school"
"198857,others,coding,school"
"198858,sports,took a part in a sports competions,school"
"198859,sports,""football,cricket"",school"
"198860,games,""clash of clans,clash royale,cs-go,cs-1.6,"",district"
"198861,sports,karate,district"
"198862,cultural,music,school"
"198863,hobbies,music,school"
"198864,sports,basketball,district"
"198865,sports,-,school"
"198866,games,-,school"
"198867,cultural,-,school"
"198868,hobbies,-,school"
"198869,others,-,school"
"198870,sports,running races,school"
"198871,games,""kho-kho, hand ball"",school"
"198872,cultural,""skit, drama"",school"
"198873,hobbies,""reading books, sketching"",school"
"198874,sports,-,national"
"198875,games,-,national"
"198876,cultural,-,national"
"198877,hobbies,-,national"
"198878,others,-,national"
"198879,sports,kabaddi,school"
"198880,cultural,skit and street plays,school"
"198881,hobbies,cycling and swimming,school"
