"pid,ssc,hsc,cet,diploma"
"198065,94.2,81.3,80.3,73"
"198066,79,52,89,73"
"198067,85.2,86,89.4,73"
"198068,90.6,66.6,78.4,73"
"198069,76.4,67.1,88.6,73"
"198070,69.4,50.5,68.2,73"
"198071,91.6,74.1,66.4,73"
"198072,94.6,72.7,81.8,73"
"198073,89,67.3,62,73"
"198074,87.8,62.5,79.2,73"
"198075,93.6,60,79.9,73"
"198076,89.4,79.1,80.9,73"
"198077,80,72.5,89.7,73"
"198078,87.2,62.6,87.2,73"
"198079,77,51.6,83.4,73"
"198080,86.2,66,81.4,73"
"198081,85.2,66.3,79.5,73"
"198082,84.2,60.5,79.8,73"
"198083,79,54.8,83.4,73"
"198084,89.2,73.6,85.2,73"
"198085,79.6,54,74.2,73"
"198086,84.4,90,90.6,73"
"198087,93.2,64.8,77.1,73"
"198088,93,62.8,78.1,73"
"198089,87.6,71.5,94.5,73"
"198090,86.2,80.8,97.4,73"
"198091,91,79.6,93.3,73"
"198092,86,57.5,44,73"
"198093,94.5,65.7,63,73"
"198094,95,79.1,90.5,73"
"198095,93,79.5,94.6,73"
"198096,89.8,91.8,88.9,73"
"198097,97.2,90.4,95.3,73"
"198098,92.4,89.7,86.4,73"
"198099,88.6,69.1,84.1,73"
"198100,90.8,93.3,96.6,73"
"198101,86.4,86.8,89.6,73"
"198102,90.4,78.6,85.4,73"
"198103,88,60,88.3,73"
"198104,95.6,73.6,93.9,73"
"198105,80.2,85.6,85.6,73"
"198106,94,73.6,90.9,73"
"198107,79.2,60,85.6,73"
"198108,86.5,61.1,85.9,73"
"198109,93.4,93.7,96.7,73"
"198110,71.2,82.8,78.7,73"
"198111,88.6,75,96,73"
"198112,92,78,94,73"
"198113,90.6,72.3,93.4,73"
"198114,86.8,62,94.2,73"
"198115,89.6,67.7,89.5,73"
"198116,86.4,71.5,95.3,73"
"198117,93,89.5,97.7,73"
"198118,83.8,62.5,78.2,73"
"198119,84.6,78.2,84.1,73"
"198120,85.4,63.5,90.9,73"
"198121,91.4,74.3,93.2,73"
"198122,88,66.1,94.4,73"
"198123,94.2,93.3,96.9,73"
"198124,82,71.5,88.1,73"
"198125,87.4,75.5,83,73"
"198126,87,55.8,74.9,73"
"198127,77.3,55.2,61.8,73"
"198128,95.2,78.8,88.8,73"
"198129,90.4,76,94.8,73"
"198130,85.8,69,87,73"
"198131,77.8,75,84.8,73"
"198132,90,65,69.3,73"
"198133,91,75.8,97.5,73"
"198134,86.6,91.3,94.4,73"
"198135,87.8,75.3,94,73"
"198136,93.8,86.7,86,73"
"198137,79.2,58.6,76.6,73"
"198138,90,74.5,77.6,73"
"198139,97.6,97.9,90.1,73"
"198140,93.2,73.7,62.1,73"
"198141,82.8,64.5,77.1,73"
"198142,74.8,61.5,80.6,73"
"198143,85.6,84.8,81,73"
"198144,89,76,83,73"
"198145,77.5,81.8,86.3,73"
"198146,91,78,84.8,73"
"198147,92.8,81.8,97.3,73"
"198148,85.8,75,81.6,73"
"198149,89,65,88.4,73"
"198150,85.2,51.8,50.8,73"
"198151,84.2,90.1,87.3,73"
"198152,82.2,76.7,95.3,73"
"198153,76,68.6,35.6,73"
"198154,83.6,88.6,74.1,73"
"198155,78.2,74.1,96.3,73"
"198156,91.4,90.3,96.2,73"
"198157,83.9,73.5,87.1,73"
"198158,80,58.6,84.2,73"
"198159,86.4,67.1,81.8,73"
"198160,94.8,67,93.9,73"
"198161,95.6,83.1,80.4,73"
"198162,96,54.5,83.2,73"
"198163,79.2,74.2,96.7,73"
"198164,94,77.1,94.6,73"
"198165,79.4,79.3,97.7,73"
"198166,89,55.8,50.5,73"
"198167,91.6,74,89.5,73"
